timestamp,out.electricity.cooling.energy_consumption.kwh,out.electricity.exterior_lighting.energy_consumption.kwh,out.electricity.fans.energy_consumption.kwh,out.electricity.heat_recovery.energy_consumption.kwh,out.electricity.heat_rejection.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.interior_equipment.energy_consumption.kwh,out.electricity.interior_lighting.energy_consumption.kwh,out.electricity.pumps.energy_consumption.kwh,out.electricity.pv.energy_consumption.kwh,out.electricity.refrigeration.energy_consumption.kwh,out.electricity.water_systems.energy_consumption.kwh
01/01/2018 00:15,3633.6755,3720.4553,14515.527,16.975445,0,13972.187,15605.11,3149.5195,63.27092,0,3071.317,9807.583
01/01/2018 00:30,3330.6191,3720.4553,14475.028,16.975445,0,14044.706,14219.546,2980.6572,63.147705,0,3066.7996,9807.583
01/01/2018 00:45,3159.6555,3720.4553,14488.537,16.975445,0,14530.922,12921.66,2818.6096,63.290585,0,3060.3481,9807.583
01/01/2018 01:00,2958.3306,3720.4553,14482.045,16.975445,0,13725.244,11627.775,2666.262,63.332924,0,3057.8225,9807.583
01/01/2018 01:15,2773.5688,3720.4553,13598.88,16.975445,0,12973.037,10338.497,2519.2434,63.251057,0,3042.1887,9807.583
01/01/2018 01:30,2581.5571,3720.4553,13611.097,16.975445,0,13237.772,9035.979,2384.7485,63.340878,0,3039.4097,9807.583
01/01/2018 01:45,2348.0974,3720.4553,13611.685,16.975445,0,13383.562,7943.0103,2263.3367,63.40927,0,3036.662,9807.583
01/01/2018 02:00,2235.6445,3720.4553,13611.47,16.975445,0,13555.397,6956.2646,2155.0647,63.269474,0,3034.8445,9807.583
01/01/2018 02:15,1994.813,3720.4553,13533.331,15.08395,0,13754.1,5910.5557,2065.8816,63.152992,0,3033.2546,9807.583
01/01/2018 02:30,1912.4285,3720.4553,13533.815,15.08395,0,13880.645,5208.5312,1986.7712,63.125328,0,3031.6477,9695.639
01/01/2018 02:45,1748.8328,3720.4553,13538.144,15.08395,0,14073.8955,4571.808,1921.0634,63.219273,0,3029.241,9434.027
01/01/2018 03:00,1580.3716,3720.4553,13540.079,15.08395,0,14187.651,4040.6633,1879.5931,63.348106,0,3024.3772,9297.505
01/01/2018 03:15,1793.6603,2630.2751,13434.753,27.5724,0,12709.623,3805.4897,1850.4363,63.279423,0,2007.1694,7482.313
01/01/2018 03:30,1699.628,2630.2751,13440.416,27.5724,0,12751.267,3659.0098,1822.813,63.145992,0,2006.8794,7684.0713
01/01/2018 03:45,1658.3567,2630.2751,13437.751,27.5724,0,12639.062,3486.7974,1814.5972,63.085155,0,2006.8417,7063.3843
01/01/2018 04:00,1572.4722,2630.2751,13427.427,27.5724,0,12555.895,3389.583,1806.6863,63.097404,0,3623.7239,6543.595
01/01/2018 04:15,1551.7052,2630.2751,13431.754,27.5724,0,12807.938,3375.6511,1804.4612,63.1823,0,1708.3948,5638.111
01/01/2018 04:30,1549.6663,2630.2751,13445.25,29.852322,0,13131.7705,3530.4429,1807.4979,3.2856793,0,1612.1136,5113.594
01/01/2018 04:45,1543.6155,2630.2751,13445.426,32.13224,0,13322.686,3770.8472,1816.6747,3.0200145,0,1599.1198,3549.0637
01/01/2018 05:00,1564.1624,2630.2751,13441.802,32.13224,0,13388.415,4063.6714,1835.4811,3.1993847,0,5961.6025,2541.3303
01/01/2018 05:15,1575.3462,2630.2751,13460.609,32.13224,0,13641.491,4461.0454,1860.6503,3.3100972,0,3267.5918,1336.0288
01/01/2018 05:30,1602.5166,2630.2751,13459.191,32.13224,0,13662.307,4841.9946,1887.3984,3.0040622,0,3096.2437,376.27042
01/01/2018 05:45,1610.8112,2630.2751,13463.552,32.13224,0,13720.668,5238.7495,1916.617,3.3099635,0,3065.5938,415.67474
01/01/2018 06:00,1681.2798,2630.2751,13471.54,32.13224,0,13862.727,6000.535,1954.0912,3.1698222,0,3046.6262,336.18985
01/01/2018 06:15,1740.0392,2630.2751,13488.057,32.13224,0,13860.175,6855.53,1997.9532,3.216873,0,3027.008,124.46508
01/01/2018 06:30,1874.8389,2630.2751,13492.392,32.13224,0,13874.126,7976.368,2058.8352,3.1693428,0,3021.0913,439.5488
01/01/2018 06:45,1991.8738,2630.2751,13486.694,32.13224,0,13794.035,9255.504,2125.4338,3.2177124,0,3011.9053,62.859676
01/01/2018 07:00,2205.2402,2630.2751,13503.983,32.13224,0,15018.643,10759.694,2199.1365,3.1775205,0,3012.488,432.62576
01/01/2018 07:15,2344.287,2630.2751,13783.078,32.13224,0,14852.5205,12272.281,2277.1104,3.1962028,0,3024.9954,318.6037
01/01/2018 07:30,2693.896,2630.2751,13781.462,32.13224,0,15052.719,13931.696,2363.815,3.2265105,0,3024.029,182.79576
01/01/2018 07:45,2742.83,2630.2751,13781.191,32.13224,0,15037.055,15889.8545,2456.2256,3.2131374,0,3023.7605,314.4767
01/01/2018 08:00,3217.7637,2630.2751,13788.405,32.13224,0,15074.201,17661.36,2550.5874,3.2064536,0,3024.843,177.90523
01/01/2018 08:15,3276.6892,2630.2751,14116.331,15.08395,0,16409.365,19596.62,2655.1833,2.9560657,0,3025.408,343.0442
